bench,config,description,simTicks,numCycles,simInsts,average_packet_latency,cumulativeCycles,maxCycles,geoIPC
dedup,lpbt_s_power_noci_nndbt_injej_none,,8783540922.0,102056.0,5047250307.0,6817.412223,438746130.0,33397489.0,0.5077398597094104
dedup,lpbt_s_latop_noci_nndbt_injej_none,,8783580898.0,104422.0,5047227043.0,6847.166542,438750863.0,33397641.0,0.5073512436540291
dedup,lpbt_m_latop_noci_nndbt_injej_none,,8784099008.0,108951.0,5047179615.0,7358.248753,438909785.0,33399611.0,0.49589056440693147
dedup,kite_medium_noci_nndbt_injej_none,,8784497716.0,106094.0,5047271527.0,7314.296629,438924461.0,33401127.0,0.4989404505361009
dedup,kite_small_noci_nndbt_injej_none,,8783287390.0,100549.0,5047232615.0,6611.85254,438660782.0,33396525.0,0.5140005926891213
x264,butter_donut_x_noci_nndbt_injej_none,,1865456370.0,129455.0,521176598.0,7175.399336,10315739.0,3167942.0,0.16237218606138715
x264,dbl_bfly_x_noci_nndbt_injej_none,,1869758261.0,132311.0,521189564.0,7208.673082,10399797.0,3180021.0,0.16399129409901547
x264,kite_medium_noci_nndbt_injej_none,,1824233750.0,125748.0,521177984.0,6743.950079,10082869.0,3112669.0,0.167416547349447
x264,kite_large_noci_nndbt_injej_none,,1848732726.0,130270.0,521185706.0,7029.249787,10259723.0,3146528.0,0.1654538168672824
x264,ft_x_noci_nndbt_injej_none,,1824483074.0,125850.0,521158225.0,6805.159604,10031303.0,3116399.0,0.16281591551772348
x264,kite_small_noci_nndbt_injej_none,,1757490399.0,117827.0,521170396.0,6120.080313,9666095.0,2997859.0,0.17346529946547495
x264,lpbt_m_latop_noci_nndbt_injej_none,,1816473146.0,126155.0,521153592.0,6735.078579,9993535.0,3100535.0,0.16103841413431635
x264,lpbt_s_latop_noci_nndbt_injej_none,,1791589664.0,124678.0,521173726.0,6404.089369,9877107.0,3069690.0,0.1703600799556229
x264,lpbt_s_power_noci_nndbt_injej_none,,1756756366.0,117919.0,521147186.0,6173.268501,9639065.0,3006805.0,0.16542421813505512
dedup,mesh_noci_naive_hops,,8785891353.0,122993.0,0,8629.521005,439431445.0,33406426.0,1
x264,mesh_noci_naive_hops,,1920595898.0,139685.0,0,7990.956621,10740685.0,3268641.0,1
swaptions,mesh_noci_naive_hops,,14051950610.0,53429467.0,0,9835.589495,3419485899.0,53429467.0,1
streamcluster,mesh_noci_naive_hops,,51810338818.0,63059353.0,0,9115.019828,4188523070.0,106903219.0,1
bodytrack,mesh_noci_naive_hops,,42760753145.0,52456479.0,0,8752.67878,3286491941.0,89205647.0,1
facesim,mesh_noci_naive_hops,,24866307311.0,541486.0,0,8452.473804,494493010.0,71524979.0,1
freqmine,mesh_noci_naive_hops,,29732477435.0,250700.0,0,9152.089113,129129969.0,113051245.0,1
raytrace,mesh_noci_naive_hops,,4161741982.0,13561515.0,0,8066.657255,876708717.0,15782464.0,1
fluidanimate,mesh_noci_naive_hops,,24012037023.0,71473958.0,0,9305.028114,4500370497.0,88705417.0,1
canneal,mesh_noci_naive_hops,,316098488096.0,2649728.0,0,8105.759105,1356244246.0,1201895392.0,1
blackscholes,mesh_noci_naive_hops,,19768824479.0,371934.0,0,7990.597542,91711596.0,75166633.0,1
ferret,mesh_noci_naive_hops,,14389507691.0,148700.0,0,9230.717665,569075887.0,54712952.0,1
fluidanimate,lpbt_s_power_noci_nndbt_injej_none,,24259334608.0,71553255.0,10182355820.0,8129.730373,4525869776.0,90050056.0,1.1287443149782295
